id,score,relation
A002,100,Sire/Duke Of Marmalade/⭐PRAWN BABA
A024,86,Sire/Sebring/KEEN VENTURE
A042,69,Sire/Swiss Ace/SWISS WARRIOR
A062,49,Sire/Swiss Ace/TOP STRIKE
A067,76,Sire/Makfi/TANG FLEMING
A074,78,Sire/Swiss Ace/WINNING VANGOGH
A093,118,Sire/More Than Ready/EAGLE WAY
A128,64,Sire/Swiss Ace/PHANTOM FALCON
A149,80,Sire/Swiss Ace/ROCKY MALONE
A154,83,Sire/Makfi/DR WIN WIN
A171,62,Sire/Snitzel/STAR OF JOY
A189,58,Sire/Not A Single Doubt/ELECTRIC LIGHTNING
A207,54,Sire/Not A Single Doubt/FANTASTIC SHOW
A222,64,Sire/More Than Ready/REMARKABLE
A252,123,Sire/Not A Single Doubt/⭐⭐SOUTHERN LEGEND
A280,44,Sire/Showcasing/CREME BRULEE
A290,78,Sire/Makfi/WIN BEAUTY WIN
A294,56,Sire/Commands/KHAKI
A297,87,Sire/Sebring/COBY BOY
A313,46,Sire/More Than Ready/HAPPY WARRIOR
A337,74,Sire/More Than Ready/SHANGHAI MASTER
A338,80,Sire/Snitzel/BOMBAY BLITZ
A377,84,Sire/Not A Single Doubt/GUNNISON
A386,45,Sire/Not A Single Doubt/SINCERE HORSE
A418,89,Sire/More Than Ready/FORTUNE BOOTH
B040,80,Sire/Sebring/LEAN PERFECTION
B041,43,Sire/Showcasing/LUCKY COIN
B042,45,Sire/Showcasing/COOL ARMY
B067,48,Sire/Makfi/FRESH POWER
B080,51,Sire/Showcasing/SHIMMER AND SHINE
B083,87,Sire/Swiss Ace/UGLY WARRIOR
B107,56,Sire/More Than Ready/ROMANTIC JOURNEY
B135,52,Sire/Makfi/LUCKY BABY
B166,79,Sire/Sebring/GREAT HONOUR
B181,76,Sire/Makfi/FIAMA
B189,52,Sire/Sebring/HAPPY SEBRING
B190,66,Sire/Snitzel/GOLDEN DASH
B251,68,Sire/Commands/LASTING FRIENDSHIP
B259,52,Sire/Swiss Ace/LIGHTNING TREASURE
B273,88,Sire/Snitzel/SUMMER PASSAGE
B304,80,Sire/Sebring/SEBFIRE
B305,87,Sire/Snitzel/EPTIMUM
B314,0,Sire/Sebring/SAVVY SEVEN
B339,73,Sire/Sebring/VILLA FIONN
M273,24,Sire/Flying Spur/GLORY HORSIE
P310,61,Sire/Not A Single Doubt/TRIUMPHANT JEWEL
S078,47,Sire/Commands/SPINNING DANCER
S397,62,Sire/Not A Single Doubt/DIAMOND MASTER
S419,68,Sire/Commands/SO FAST
T098,62,Sire/Duke Of Marmalade/TRAVEL FIRST
T211,123,Sire/Sebring/⭐⭐⭐LUCKY BUBBLES
T280,24,Sire/Flying Spur/LE PEGASE
T281,73,Sire/More Than Ready/WILLIE WAY
T282,51,Sire/Snitzel/MUTUAL JOY
T289,44,Sire/Showcasing/SHOWING CHARACTER
T341,72,Sire/Commands/WHO ELSE BUT YOU
T345,53,Sire/Commands/LONDON MASTER
T375,99,Sire/Not A Single Doubt/SICHUAN DAR
T405,39,Sire/Commands/I'M A WITNESS
T429,12,Sire/Not A Single Doubt/STARRY STARLIES
T436,40,Sire/Showcasing/SHOW MISSION
V002,67,Sire/Not A Single Doubt/DIAMOND DRAGON
V011,40,Sire/Not A Single Doubt/FORMULA GALORE
V020,78,Sire/Showcasing/JADE FORTUNE
V078,88,Sire/More Than Ready/MEGA RED
V105,64,Sire/Showcasing/SUPER SPRINTER
V150,51,Sire/Snitzel/MIGHTY MAVERICK
V151,78,Sire/Commands/MOMENTUM LUCKY
V163,27,Sire/Sebring/JOY PLUS FUN
V250,45,Sire/Duke Of Marmalade/HINYUEN SWIFTNESS
V258,32,Sire/Not A Single Doubt/WONDERFUL CHASER
V306,45,Sire/Snitzel/BUMBLE BABY
V324,54,Sire/Commands/NOBLE DE LOVE
V334,51,Sire/Flying Spur/RED HORSE
V341,47,Sire/More Than Ready/DIAMOND LEGEND
V342,93,Sire/Swiss Ace/LITTLE GIANT
V347,54,Sire/Showcasing/CHEER WIN
V348,53,Sire/Swiss Ace/SHARPMIND
V375,36,Sire/Makfi/HAPPY BEAUTY
V381,60,Sire/Sebring/LET US WIN
V385,49,Sire/Commands/LUNAR ZEPHYR
