Rtg,Pla,RaceDate,Dist,FinishTime,DeclarHorseWt
19,12,2017-09-03,1200,1.11.45,1061
19,10,2017-09-10,1400,1.23.87,1060
47,10,2015-09-23,1200,1.12.05,989
24,10,2016-09-28,1650,1.42.73,1023
18,1,2017-09-27,1650,1.40.63,1050
45,11,2015-10-07,1200,1.12.71,996
21,5,2016-10-16,1400,1.23.26,1016
25,2,2017-10-14,1600,1.34.84,1056
20,5,2016-10-30,1650,1.42.63,1005
42,7,2015-11-08,1200,1.11.26,980
26,9,2017-11-08,1800,1.52.04,1073
18,7,2016-12-07,1650,1.42.07,1024
39,9,2015-12-19,1400,1.24.47,992
26,4,2017-12-13,1650,1.41.64,1077
16,14,2016-12-17,1650,1.42.70,1022
35,12,2016-01-01,1800,1.50.04,992
26,8,2018-01-01,1600,1.37.22,1076
31,10,2016-01-13,1650,1.44.12,982
25,3,2018-03-03,1600,1.35.67,1070
25,7,2018-04-15,1200,1.11.24,1056
14,4,2017-04-23,1200,1.09.95,1026
999,11,2015-05-24,1000,0.58.53,1007
18,10,2017-05-21,1200,1.11.25,1049
999,10,2015-06-14,1200,1.11.57,1009
18,4,2017-06-04,1400,1.23.36,1049
18,8,2017-06-25,1400,1.23.58,1049
16,2,2017-07-16,1200,1.10.71,1038
